"ID","IE","Inscription","Object Type","Inscription Type","Location","Low Date","High Date","Date","Date Span","Low Date Uncertain","High Date Uncertain","Notes"
"355","355","Statue Base for an Unknown Brother of the Priest Tiberius Klaudios Eukles Sostratou","Base","Dedication","","50","59","54.5","9","FALSE","FALSE",""
"356","356","Statue Base for Tiberius Klaudios Nouios Philinou of Oion","Base","Dedication","","50","60","55","10","TRUE","FALSE",""
"357","357","Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate","Base","Dedication","","50","60","55","10","TRUE","FALSE",""
"358","358","Statue Base for Klaudios Asklepiodoros Gargettios","Base","Dedication","","50","60","55","10","TRUE","TRUE",""
"359","359","Statue Base for an Exegete","Base","Dedication","","50","100","75","50","FALSE","TRUE",""
"360","360","Contract Concerning Iulius Nikanor","Building or Monument","Other/Uncertain","","50","70","60","20","FALSE","TRUE",""
"361","361","Statue Base for Tiberius Klaudios Nouios of Oion","Building or Monument","Dedication","","55","65","60","10","FALSE","FALSE",""
"362","362","Status Base for Iulius Nikanor, New Homer and New Themistokles","Base","Dedication","","55","65","60","10","TRUE","TRUE",""
"363","363","Entablature","Base","Dedication","Before the Telestrion","60","138","99","78","FALSE","TRUE",""
"364","364","Monument for Klaudia Alkia","Base","Dedication","","60","70","65","10","FALSE","FALSE",""
"365","365","Statue Base for Titus Flavius Sophokles T. Flavii Kononos Sounieus","Base","Dedication","","70","80","75","10","FALSE","FALSE",""
"366","366","Statue Base for Titus Flavius Konon Kononos Sounieus","Base","Dedication","","75","80","77.5","5","TRUE","FALSE",""
"367","367","Statue Base for Titus Flavius Sophokles Kononos Sounieus","Base","Dedication","","75","80","77.5","5","TRUE","FALSE",""
"368","368","Statue Base for Unknown","Base","Dedication","","75","80","77.5","5","FALSE","TRUE",""
"369","369","Building Dedicated by Klaudia Tartarion, Priestess of Demeter and Kore","Base","Dedication","","75","80","77.5","5","FALSE","TRUE",""
"370","370","Statue Base for Publius Fulvius Metrodoros, Hearth-Initiate","Base","Dedication","","80","90","85","10","TRUE","FALSE",""
"371","371","Statue Base for Klaudia Philoxena, Hierophantis","Base","Dedication","","90","105","97.5","15","TRUE","TRUE",""
"372","372","Statue Base for an Unknown Individual","Base","Dedication","","90","105","97.5","15","TRUE","TRUE",""
"373","373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","","90","105","97.5","15","TRUE","TRUE",""
"374","374","Statue Base for Zopyros Zopyrou Piraieos","Base","Dedication","","90","105","97.5","15","TRUE","TRUE",""
"375","375","Statue Base for an Unknown Individual","Base","Dedication","","90","105","97.5","15","TRUE","TRUE",""
"376","376","Statue Base for an Unknown Individual","Base","Dedication","","90","105","97.5","15","TRUE","TRUE",""
"377","377","Statue Base for the Unknown Wife of Ammonios of Kholleidai","Base","Dedication","","75","100","87.5","25","FALSE","FALSE",""
"378","378","Statue Base for Eraton Eratonos Besaieus","Base","Dedication","","1","100","50.5","99","FALSE","FALSE",""
"379","379","Statue Base for an Unknown Individual, Dedicated by a Priestess","Stele","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"380","380","Statue Base for Athenais, Granddaughter of a Hierophantis","Base","Dedication","Before the Telestrion","1","100","50.5","99","TRUE","TRUE",""
"381","381","Statue Base for a [-]ppos Herakleitou Gargettios","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"382","382","Statue Base for Kl. Theophilos and Kl. S[-]","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"383","383","Statue Base for a T. Flavius","Building or Monument","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"384","384","Statue Base for a L. Pompeios, Hearth-Initiate","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"385","385","Statue Base for a L. Pompeios","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"386","386","Statue Base Signed by Agathokles Agathokleous Kephisieus","Base","Other/Uncertain","","1","100","50.5","99","TRUE","TRUE",""
"387","387","Altar Dedicated by Daughter of Dionysios Phalereus","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"388","388","Statue Base for an Unknown Individual","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"389","389","Son of Tryphon Phylasios","Building or Monument","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"390","390","Altar Dedicated to Artemis","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"391","391","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","","1","100","50.5","99","TRUE","TRUE",""
"392","392","Catalogue?","Base","Other/Uncertain","","1","200","100.5","199","FALSE","FALSE",""
"393","393","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"394","394","Dedication to Dionysios Lenaios","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"395","395","Statue Base for a Hearth-Initiate","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"396","396","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"397","397","Statue Base for an Unknown Individual","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"398","398","Statue Base for Kourtia Stratonike","Base","Dedication","Before the Telestrion","1","200","100.5","199","FALSE","FALSE",""
"399","399","Statue Base for Kallisto, Daughter of Kallimakhos","Base","Dedication","Before the Telestrion","1","200","100.5","199","FALSE","FALSE",""
"400","400","Bomiskos for Iakkhos","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"401","401","Bomiskos for Kourotrophos","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"402","402","Statue Base for an Unknown Individual","Base","Dedication","","1","200","100.5","199","FALSE","FALSE",""
"403","403","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"404","404","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"405","405","Statue Base(?) For an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"406","406","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"407","407","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"408","408","Dedicatory Base for an Unknown Figure","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"409","409","Statue Base(?) for Unknown","Altar","Other/Uncertain","","1","300","150.5","299","FALSE","FALSE",""
"410","410","Statue Base(?) For Unknown","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"411","411","Monument Dedicated by an Unknown Party","Base","Other/Uncertain","","1","300","150.5","299","FALSE","FALSE",""
"511","511","Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate","Base","Dedication","Before the Telestrion","180","185","182.5","5","TRUE","FALSE",""
"412","412","Statue Base for an Unknown Individual","Altar","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"413","413","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"414","414","Statue Base for an Unknown Individual","Other/Fragment","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"415","415","Statue Base for an Unknown Individaul","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"416","416","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"417","417","Statue Base(?) for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"418","418","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"419","419","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"420","420","Statue Base(?) for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"421","421","Statue Base for an Unknown Individual","Altar","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"422","422","Statue Base for an Unknown Emperor","Altar","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"423","423","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"424","424","Statue Base for an Unknown Emperor(?)","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"425","425","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"426","426","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"427","427","Statue Base for an Unknown Individual","Base","Dedication","Before the Telestrion","1","300","150.5","299","FALSE","FALSE",""
"428","428","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
